Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Bus,Transportation Check Passenger Train,Worksite Enforcement
MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOROCCO,0.0,0.0,0.0,4.35,28.26,2.17,0.0,0.0,0.0,0.0,0.0,19.57,41.3,0.0,0.0,0.0,2.17,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0
MOZAMBIQUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAMIBIA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEPAL,0.88,7.96,0.0,8.85,28.32,0.88,0.0,0.0,0.0,0.0,0.0,11.5,31.86,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42
NETHERLANDS,0.0,0.0,0.0,14.29,50.0,14.29,0.0,0.0,0.0,0.0,0.0,14.29,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEW ZEALAND,0.0,0.0,0.0,7.14,42.86,14.29,0.0,0.0,7.14,0.0,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICARAGUA,2.02,0.0,0.03,1.68,41.18,0.42,0.03,0.0,0.37,0.05,0.31,16.09,31.6,0.0,0.16,0.31,5.07,0.0,0.03,0.31,0.03,0.0,0.0,0.0,0.31
NIGER,0.0,0.0,0.0,12.5,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIGERIA,1.76,0.0,0.0,17.06,36.47,4.12,0.0,0.0,1.18,0.0,0.0,14.71,21.18,0.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
