Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
BURUNDI,0.0,0.0,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
CAMBODIA,2.22,0.0,28.89,0.0,2.22,6.67,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0,2.22,0.0,0.0,2.22,4.44,2.22,0.0,6.67,24.44,4.44,0.0,4.44
CAMEROON,0.0,15.38,1.28,0.0,3.85,3.85,0.0,11.54,1.28,0.0,1.28,1.28,5.13,0.0,0.0,1.28,0.0,2.56,0.0,0.0,3.85,1.28,0.0,1.28,1.28,43.59
CANADA,5.56,3.33,4.44,3.33,6.67,2.22,2.22,3.33,0.0,0.0,0.0,5.56,2.22,25.56,4.44,2.22,0.0,12.22,1.11,4.44,0.0,1.11,2.22,3.33,3.33,1.11
CAPE VERDE,0.0,0.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL AFRICAN REPUBLIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,33.33,33.33
CHAD,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
CHILE,1.74,1.74,0.43,0.87,5.22,4.35,4.35,2.61,0.0,0.0,1.3,1.3,7.39,35.65,2.17,4.78,3.91,2.61,1.3,12.61,3.04,0.0,1.74,0.43,0.0,0.43
"CHINA, PEOPLES REPUBLIC OF",2.86,1.21,2.53,2.97,3.85,12.43,0.99,2.97,0.44,0.0,0.77,3.08,19.25,4.07,5.72,12.43,1.54,4.18,1.21,2.31,1.98,1.32,6.93,1.43,1.21,2.31
COLOMBIA,8.95,0.54,4.53,1.02,6.03,5.04,5.41,1.98,1.73,0.03,0.59,3.62,6.12,18.88,3.88,3.77,7.19,2.32,1.22,3.51,4.78,0.76,2.12,1.39,1.1,3.48
