Citizenship Country,Female,Male,Unknown,Female (%),Male (%),Unknown (%)
NETHERLANDS ANTILLES,0,4,0,0.0,100.0,0.0
NEW ZEALAND,3,15,0,16.67,83.33,0.0
NICARAGUA,3892,10761,31,26.51,73.28,0.21
NIGER,1,29,0,3.33,96.67,0.0
NIGERIA,49,393,2,11.04,88.51,0.45
NORTH MACEDONIA,0,9,0,0.0,100.0,0.0
NORWAY,0,3,0,0.0,100.0,0.0
OMAN,0,2,0,0.0,100.0,0.0
PAKISTAN,6,178,2,3.23,95.7,1.08
PALAU,2,13,0,13.33,86.67,0.0
PANAMA,51,119,0,30.0,70.0,0.0
PAPUA NEW GUINEA,0,2,0,0.0,100.0,0.0
PARAGUAY,7,26,0,21.21,78.79,0.0
PERU,1230,2751,13,30.8,68.88,0.33
PHILIPPINES,32,160,3,16.41,82.05,1.54
POLAND,18,79,0,18.56,81.44,0.0
PORTUGAL,9,82,0,9.89,90.11,0.0
ROMANIA,308,722,6,29.73,69.69,0.58
RUSSIA,124,609,1,16.89,82.97,0.14
RWANDA,2,27,0,6.9,93.1,0.0
SAMOA,1,12,0,7.69,92.31,0.0
SAO TOME AND PRINCIPE,0,2,0,0.0,100.0,0.0
SAUDI ARABIA,4,35,0,10.26,89.74,0.0
SENEGAL,18,351,1,4.86,94.86,0.27
SERBIA,1,8,1,10.0,80.0,10.0
SERBIA AND MONTENEGRO,0,2,0,0.0,100.0,0.0
SIERRA LEONE,4,44,2,8.0,88.0,4.0
SINT EUSTATIUS,0,0,0,,,
SINT MAARTEN(DUTCH),0,3,0,0.0,100.0,0.0
SLOVAKIA,0,12,0,0.0,100.0,0.0
SLOVENIA,0,4,0,0.0,100.0,0.0
SOMALIA,11,128,4,7.69,89.51,2.8
SOUTH AFRICA,12,43,1,21.43,76.79,1.79
SOUTH KOREA,15,65,2,18.29,79.27,2.44
SOUTH SUDAN,3,19,1,13.04,82.61,4.35
SPAIN,55,201,0,21.48,78.52,0.0
SRI LANKA,2,33,0,5.71,94.29,0.0
ST. KITTS-NEVIS,1,13,0,7.14,92.86,0.0
