Citizenship Country,Apprehension AOR,n_arrests
CHILE,Dallas Area of Responsibility,6
CHILE,Denver Area of Responsibility,6
CHILE,Detroit Area of Responsibility,7
CHILE,Harlingen Area of Responsibility,1
CHILE,Houston Area of Responsibility,6
CHILE,Los Angeles Area of Responsibility,15
CHILE,Miami Area of Responsibility,123
CHILE,New Orleans Area of Responsibility,21
CHILE,New York City Area of Responsibility,9
CHILE,Newark Area of Responsibility,35
CHILE,Philadelphia Area of Responsibility,24
CHILE,Phoenix Area of Responsibility,13
CHILE,Salt Lake City Area of Responsibility,40
CHILE,San Antonio Area of Responsibility,9
CHILE,San Diego Area of Responsibility,5
CHILE,San Francisco Area of Responsibility,5
CHILE,Seattle Area of Responsibility,4
CHILE,St. Paul Area of Responsibility,1
CHILE,Washington Area of Responsibility,5
"CHINA, PEOPLES REPUBLIC OF",Atlanta Area of Responsibility,29
"CHINA, PEOPLES REPUBLIC OF",Baltimore Area of Responsibility,7
"CHINA, PEOPLES REPUBLIC OF",Boston Area of Responsibility,20
"CHINA, PEOPLES REPUBLIC OF",Buffalo Area of Responsibility,20
"CHINA, PEOPLES REPUBLIC OF",Chicago Area of Responsibility,30
"CHINA, PEOPLES REPUBLIC OF",Dallas Area of Responsibility,53
"CHINA, PEOPLES REPUBLIC OF",Denver Area of Responsibility,7
"CHINA, PEOPLES REPUBLIC OF",Detroit Area of Responsibility,9
"CHINA, PEOPLES REPUBLIC OF",El Paso Area of Responsibility,2
"CHINA, PEOPLES REPUBLIC OF",Harlingen Area of Responsibility,1
"CHINA, PEOPLES REPUBLIC OF",Houston Area of Responsibility,14
"CHINA, PEOPLES REPUBLIC OF",Los Angeles Area of Responsibility,50
"CHINA, PEOPLES REPUBLIC OF",Miami Area of Responsibility,32
"CHINA, PEOPLES REPUBLIC OF",New Orleans Area of Responsibility,56
"CHINA, PEOPLES REPUBLIC OF",New York City Area of Responsibility,30
"CHINA, PEOPLES REPUBLIC OF",Newark Area of Responsibility,14
"CHINA, PEOPLES REPUBLIC OF",Philadelphia Area of Responsibility,50
"CHINA, PEOPLES REPUBLIC OF",Phoenix Area of Responsibility,13
"CHINA, PEOPLES REPUBLIC OF",Salt Lake City Area of Responsibility,11
"CHINA, PEOPLES REPUBLIC OF",San Antonio Area of Responsibility,12
"CHINA, PEOPLES REPUBLIC OF",San Diego Area of Responsibility,8
"CHINA, PEOPLES REPUBLIC OF",San Francisco Area of Responsibility,49
"CHINA, PEOPLES REPUBLIC OF",Seattle Area of Responsibility,18
"CHINA, PEOPLES REPUBLIC OF",St. Paul Area of Responsibility,10
"CHINA, PEOPLES REPUBLIC OF",Washington Area of Responsibility,7
COLOMBIA,Atlanta Area of Responsibility,351
COLOMBIA,Baltimore Area of Responsibility,42
COLOMBIA,Boston Area of Responsibility,281
COLOMBIA,Buffalo Area of Responsibility,55
COLOMBIA,Chicago Area of Responsibility,511
COLOMBIA,Dallas Area of Responsibility,286
COLOMBIA,Denver Area of Responsibility,134
COLOMBIA,Detroit Area of Responsibility,144
COLOMBIA,El Paso Area of Responsibility,124
COLOMBIA,HQ Area of Responsibility,1
COLOMBIA,Harlingen Area of Responsibility,299
COLOMBIA,Houston Area of Responsibility,234
COLOMBIA,Los Angeles Area of Responsibility,395
COLOMBIA,Miami Area of Responsibility,817
COLOMBIA,New Orleans Area of Responsibility,277
COLOMBIA,New York City Area of Responsibility,550
COLOMBIA,Newark Area of Responsibility,503
