Citizenship Country,287(g) Program,Anti-Smuggling,Boat Patrol,CAP Federal Incarceration,CAP Local Incarceration,CAP State Incarceration,Crewman/Stowaway,Criminal Alien Program,ERO Reprocessed Arrest,Inspections,Law Enforcement Agency Response Unit,Located,Non-Custodial Arrest,Organized Crime Drug Enforcement Task Force,Other Agency (turned over to INS),Other Task Force,Other efforts,Patrol Border,Patrol Interior,Probation and Parole,Traffic Check,Transportation Check Aircraft,Transportation Check Passenger Train,Worksite Enforcement
LITHUANIA,0.0,0.0,0.0,10.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAWI,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAYSIA,0.0,0.0,0.0,25.0,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0
MALI,0.0,0.0,0.0,13.64,18.18,18.18,0.0,0.0,22.73,0.0,0.0,9.09,13.64,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARSHALL ISLANDS,20.0,0.0,0.0,0.74,41.48,11.85,0.0,0.0,0.74,0.0,0.0,2.96,2.96,0.0,0.0,0.0,0.0,0.0,0.0,19.26,0.0,0.0,0.0,0.0
MAURITANIA,0.62,0.0,0.0,12.96,15.43,0.0,0.0,0.0,19.14,0.0,0.0,1.85,28.4,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAURITIUS,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,2.82,0.02,0.0,16.46,50.91,7.11,0.0,0.0,1.85,0.01,0.25,7.64,8.96,0.01,0.12,0.03,1.25,0.02,0.0,2.53,0.0,0.0,0.0,0.01
"MICRONESIA, FEDERATED STATES OF",5.79,0.0,0.0,1.65,48.76,14.05,0.0,0.0,0.83,0.0,0.0,8.26,12.4,0.0,0.0,0.0,1.65,0.0,0.0,6.61,0.0,0.0,0.0,0.0
MOLDOVA,0.0,0.0,0.0,8.33,33.33,16.67,0.0,0.0,16.67,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0
MONGOLIA,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTENEGRO,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTSERRAT,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOROCCO,1.69,0.0,0.0,8.47,18.64,5.08,0.0,0.0,44.07,0.0,0.0,6.78,11.86,0.0,0.0,0.0,0.0,1.69,0.0,1.69,0.0,0.0,0.0,0.0
MOZAMBIQUE,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAMIBIA,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEPAL,0.0,0.0,0.0,0.0,26.32,3.51,0.0,0.0,47.37,0.0,0.0,1.75,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS,0.0,0.0,0.0,11.76,47.06,5.88,0.0,0.0,5.88,0.0,0.0,11.76,11.76,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0
NETHERLANDS ANTILLES,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
NEW ZEALAND,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICARAGUA,0.83,0.03,0.0,1.87,25.35,0.54,0.02,0.0,13.47,0.06,0.04,2.8,42.65,0.0,0.07,0.04,11.49,0.28,0.0,0.41,0.0,0.0,0.0,0.06
NIGER,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0
